IncomeCategory,Date,HighestInfected
High income,05-04-2021,69193861
Middle Class Income,05-04-2021,38442416
Lower middle income,05-04-2021,23905970
Low income,05-04-2021,752815
High income,04-04-2021,69020639
Middle Class Income,04-04-2021,38276363
Lower middle income,04-04-2021,23751712
Low income,04-04-2021,749332
High income,03-04-2021,68782350
Middle Class Income,03-04-2021,38129058
Lower middle income,03-04-2021,23581101
Low income,03-04-2021,745621
High income,02-04-2021,68564034
Middle Class Income,02-04-2021,37973954
Lower middle income,02-04-2021,23417690
Low income,02-04-2021,742116
High income,01-04-2021,68284540
Middle Class Income,01-04-2021,37779683
Lower middle income,01-04-2021,23250825
Low income,01-04-2021,737950
High income,31-03-2021,67969933
Middle Class Income,31-03-2021,37549775
Lower middle income,31-03-2021,23090159
Low income,31-03-2021,733319
High income,30-03-2021,67661433
Middle Class Income,30-03-2021,37320245
Lower middle income,30-03-2021,22958431
Low income,30-03-2021,729180
High income,29-03-2021,67421465
Middle Class Income,29-03-2021,37112323
Lower middle income,29-03-2021,22847936
Low income,29-03-2021,725373
High income,28-03-2021,67224055
Middle Class Income,28-03-2021,36961279
Lower middle income,28-03-2021,22740525
Low income,28-03-2021,721940
High income,27-03-2021,67002001
Middle Class Income,27-03-2021,36815675
Lower middle income,27-03-2021,22619187
Low income,27-03-2021,718291
High income,26-03-2021,66737168
Middle Class Income,26-03-2021,36621265
Lower middle income,26-03-2021,22497299
Low income,26-03-2021,714903
High income,25-03-2021,66432411
Middle Class Income,25-03-2021,36421896
Lower middle income,25-03-2021,22365106
Low income,25-03-2021,711196
High income,24-03-2021,66128067
Middle Class Income,24-03-2021,36197479
Lower middle income,24-03-2021,22245954
Low income,24-03-2021,706929
High income,23-03-2021,65814050
Middle Class Income,23-03-2021,35994145
Lower middle income,23-03-2021,22137240
Low income,23-03-2021,703297
High income,22-03-2021,65608494
Middle Class Income,22-03-2021,35794507
Lower middle income,22-03-2021,22039745
Low income,22-03-2021,700122
High income,21-03-2021,65418237
Middle Class Income,21-03-2021,35651759
Lower middle income,21-03-2021,21954376
Low income,21-03-2021,697313
High income,20-03-2021,65214704
Middle Class Income,20-03-2021,35512212
Lower middle income,20-03-2021,21860578
Low income,20-03-2021,693738
High income,19-03-2021,64976655
Middle Class Income,19-03-2021,35351709
Lower middle income,19-03-2021,21764033
Low income,19-03-2021,690420
High income,18-03-2021,64718322
Middle Class Income,18-03-2021,35148940
Lower middle income,18-03-2021,21666796
Low income,18-03-2021,686234
High income,17-03-2021,64452175
Middle Class Income,17-03-2021,34963565
Lower middle income,17-03-2021,21574260
Low income,17-03-2021,682389
High income,16-03-2021,64196880
Middle Class Income,16-03-2021,34762261
Lower middle income,16-03-2021,21489034
Low income,16-03-2021,678542
High income,15-03-2021,63981885
Middle Class Income,15-03-2021,34586461
Lower middle income,15-03-2021,21416090
Low income,15-03-2021,675259
High income,14-03-2021,63820135
Middle Class Income,14-03-2021,34460241
Lower middle income,14-03-2021,21352475
Low income,14-03-2021,672745
High income,13-03-2021,63638129
Middle Class Income,13-03-2021,34346304
Lower middle income,13-03-2021,21286347
Low income,13-03-2021,669765
High income,12-03-2021,63410158
Middle Class Income,12-03-2021,34194480
Lower middle income,12-03-2021,21214534
Low income,12-03-2021,665774
High income,11-03-2021,63171482
Middle Class Income,11-03-2021,34018978
Lower middle income,11-03-2021,21142919
Low income,11-03-2021,662330
High income,10-03-2021,62924097
Middle Class Income,10-03-2021,33849101
Lower middle income,10-03-2021,21074220
Low income,10-03-2021,658650
High income,09-03-2021,62692563
Middle Class Income,09-03-2021,33687430
Lower middle income,09-03-2021,21011961
Low income,09-03-2021,655266
High income,08-03-2021,62492244
Middle Class Income,08-03-2021,33528850
Lower middle income,08-03-2021,20959261
Low income,08-03-2021,652864
High income,07-03-2021,62351396
Middle Class Income,07-03-2021,33417936
Lower middle income,07-03-2021,20907935
Low income,07-03-2021,650459
High income,06-03-2021,62182299
Middle Class Income,06-03-2021,33270858
Lower middle income,06-03-2021,20852629
Low income,06-03-2021,647502
High income,05-03-2021,61974270
Middle Class Income,05-03-2021,33127063
Lower middle income,05-03-2021,20794185
Low income,05-03-2021,643759
High income,04-03-2021,61741866
Middle Class Income,04-03-2021,32972823
Lower middle income,04-03-2021,20734418
Low income,04-03-2021,641054
High income,03-03-2021,61506567
Middle Class Income,03-03-2021,32813284
Lower middle income,03-03-2021,20674236
Low income,03-03-2021,637628
High income,02-03-2021,61274445
Middle Class Income,02-03-2021,32663312
Lower middle income,02-03-2021,20618033
Low income,02-03-2021,634066
High income,01-03-2021,61157576
Middle Class Income,01-03-2021,32518808
Lower middle income,01-03-2021,20568990
Low income,01-03-2021,631228
High income,28-02-2021,61007252
Middle Class Income,28-02-2021,32409815
Lower middle income,28-02-2021,20525139
Low income,28-02-2021,628864
High income,27-02-2021,60840000
Middle Class Income,27-02-2021,32321109
Lower middle income,27-02-2021,20476350
Low income,27-02-2021,625832
High income,26-02-2021,60629691
Middle Class Income,26-02-2021,32191230
Lower middle income,26-02-2021,20423110
Low income,26-02-2021,622547
High income,25-02-2021,60396669
Middle Class Income,25-02-2021,32043550
Lower middle income,25-02-2021,20365507
Low income,25-02-2021,618893
High income,24-02-2021,60156385
Middle Class Income,24-02-2021,31893775
Lower middle income,24-02-2021,20305988
Low income,24-02-2021,615491
High income,23-02-2021,59919217
Middle Class Income,23-02-2021,31743794
Lower middle income,23-02-2021,20251709
Low income,23-02-2021,611955
High income,22-02-2021,59716229
Middle Class Income,22-02-2021,31606531
Lower middle income,22-02-2021,20202005
Low income,22-02-2021,609181
High income,21-02-2021,59560367
Middle Class Income,21-02-2021,31514343
Lower middle income,21-02-2021,20157483
Low income,21-02-2021,606168
High income,20-02-2021,59391790
Middle Class Income,20-02-2021,31413428
Lower middle income,20-02-2021,20110748
Low income,20-02-2021,602842
High income,19-02-2021,59195745
Middle Class Income,19-02-2021,31287868
Lower middle income,19-02-2021,20060816
Low income,19-02-2021,599218
High income,18-02-2021,58973771
Middle Class Income,18-02-2021,31156837
Lower middle income,18-02-2021,20007790
Low income,18-02-2021,595594
High income,17-02-2021,58752121
Middle Class Income,17-02-2021,31024009
Lower middle income,17-02-2021,19955351
Low income,17-02-2021,591717
High income,16-02-2021,58540765
Middle Class Income,16-02-2021,30902771
Lower middle income,16-02-2021,19905452
Low income,16-02-2021,587849
High income,15-02-2021,58360179
Middle Class Income,15-02-2021,30774895
Lower middle income,15-02-2021,19857571
Low income,15-02-2021,584422
High income,14-02-2021,58203011
Middle Class Income,14-02-2021,30691279
Lower middle income,14-02-2021,19820415
Low income,14-02-2021,581488
High income,13-02-2021,58040458
Middle Class Income,13-02-2021,30590948
Lower middle income,13-02-2021,19779268
Low income,13-02-2021,576889
High income,12-02-2021,57833437
Middle Class Income,12-02-2021,30469523
Lower middle income,12-02-2021,19729692
Low income,12-02-2021,574457
High income,11-02-2021,57590797
Middle Class Income,11-02-2021,30337643
Lower middle income,11-02-2021,19678428
Low income,11-02-2021,570652
High income,10-02-2021,57333269
Middle Class Income,10-02-2021,30201453
Lower middle income,10-02-2021,19632076
Low income,10-02-2021,566954
High income,09-02-2021,57082955
Middle Class Income,09-02-2021,30064742
Lower middle income,09-02-2021,19582351
Low income,09-02-2021,563248
High income,08-02-2021,56857643
Middle Class Income,08-02-2021,29932198
Lower middle income,08-02-2021,19536814
Low income,08-02-2021,559439
High income,07-02-2021,56651390
Middle Class Income,07-02-2021,29842962
Lower middle income,07-02-2021,19495450
Low income,07-02-2021,556350
High income,06-02-2021,56450290
Middle Class Income,06-02-2021,29742597
Lower middle income,06-02-2021,19449147
Low income,06-02-2021,552600
High income,05-02-2021,56205092
Middle Class Income,05-02-2021,29608181
Lower middle income,05-02-2021,19397463
Low income,05-02-2021,548760
High income,04-02-2021,55879874
Middle Class Income,04-02-2021,29454806
Lower middle income,04-02-2021,19343890
Low income,04-02-2021,544433
High income,03-02-2021,55596698
Middle Class Income,03-02-2021,29325155
Lower middle income,03-02-2021,19289805
Low income,03-02-2021,539613
High income,02-02-2021,55287060
Middle Class Income,02-02-2021,29168440
Lower middle income,02-02-2021,19235249
Low income,02-02-2021,535252
High income,01-02-2021,55008177
Middle Class Income,01-02-2021,29035122
Lower middle income,01-02-2021,19186011
Low income,01-02-2021,531204
High income,31-01-2021,54710255
Middle Class Income,31-01-2021,28934929
Lower middle income,31-01-2021,19144521
Low income,31-01-2021,527778
High income,30-01-2021,54472302
Middle Class Income,30-01-2021,28830208
Lower middle income,30-01-2021,19094879
Low income,30-01-2021,523549
High income,29-01-2021,54175039
Middle Class Income,29-01-2021,28676280
Lower middle income,29-01-2021,19035981
Low income,29-01-2021,518854
High income,28-01-2021,53810214
Middle Class Income,28-01-2021,28516723
Lower middle income,28-01-2021,18976528
Low income,28-01-2021,513722
High income,27-01-2021,53431691
Middle Class Income,27-01-2021,28350153
Lower middle income,27-01-2021,18911398
Low income,27-01-2021,508863
High income,26-01-2021,53056894
Middle Class Income,26-01-2021,28186051
Lower middle income,26-01-2021,18854510
Low income,26-01-2021,503660
High income,25-01-2021,52725316
Middle Class Income,25-01-2021,28015677
Lower middle income,25-01-2021,18800365
Low income,25-01-2021,498519
High income,24-01-2021,52402302
Middle Class Income,24-01-2021,27907236
Lower middle income,24-01-2021,18753219
Low income,24-01-2021,495523
High income,23-01-2021,52120913
Middle Class Income,23-01-2021,27783878
Lower middle income,23-01-2021,18700401
Low income,23-01-2021,491140
High income,22-01-2021,51772228
Middle Class Income,22-01-2021,27622285
Lower middle income,22-01-2021,18638598
Low income,22-01-2021,486606
High income,21-01-2021,51349797
Middle Class Income,21-01-2021,27447594
Lower middle income,21-01-2021,18576912
Low income,21-01-2021,481848
High income,20-01-2021,50921656
Middle Class Income,20-01-2021,27275337
Lower middle income,20-01-2021,18513349
Low income,20-01-2021,477025
High income,19-01-2021,50494097
Middle Class Income,19-01-2021,27084518
Lower middle income,19-01-2021,18449696
Low income,19-01-2021,471852
High income,18-01-2021,50132787
Middle Class Income,18-01-2021,26914782
Lower middle income,18-01-2021,18392581
Low income,18-01-2021,467259
High income,17-01-2021,49786199
Middle Class Income,17-01-2021,26796085
Lower middle income,17-01-2021,18344058
Low income,17-01-2021,463841
High income,16-01-2021,49454820
Middle Class Income,16-01-2021,26663195
Lower middle income,16-01-2021,18285451
Low income,16-01-2021,459149
High income,15-01-2021,49049382
Middle Class Income,15-01-2021,26485550
Lower middle income,15-01-2021,18216456
Low income,15-01-2021,454439
High income,14-01-2021,48551249
Middle Class Income,14-01-2021,26276118
Lower middle income,14-01-2021,18145009
Low income,14-01-2021,449568
High income,13-01-2021,48056878
Middle Class Income,13-01-2021,26084026
Lower middle income,13-01-2021,18077485
Low income,13-01-2021,444482
High income,12-01-2021,47569728
Middle Class Income,12-01-2021,25900517
Lower middle income,12-01-2021,18009076
Low income,12-01-2021,440254
High income,11-01-2021,47121915
Middle Class Income,11-01-2021,25720384
Lower middle income,11-01-2021,17948194
Low income,11-01-2021,436717
High income,10-01-2021,46703516
Middle Class Income,10-01-2021,25581070
Lower middle income,10-01-2021,17894352
Low income,10-01-2021,433672
High income,09-01-2021,46297853
Middle Class Income,09-01-2021,25448807
Lower middle income,09-01-2021,17836167
Low income,09-01-2021,428282
High income,08-01-2021,45798323
Middle Class Income,08-01-2021,25280031
Lower middle income,08-01-2021,17752120
Low income,08-01-2021,424541
High income,07-01-2021,45204037
Middle Class Income,07-01-2021,25091179
Lower middle income,07-01-2021,17703297
Low income,07-01-2021,420986
High income,06-01-2021,44618429
Middle Class Income,06-01-2021,24877836
Lower middle income,06-01-2021,17635595
Low income,06-01-2021,417758
High income,05-01-2021,44090743
Middle Class Income,05-01-2021,24685087
Lower middle income,05-01-2021,17568191
Low income,05-01-2021,414553
High income,04-01-2021,43588240
Middle Class Income,04-01-2021,24508356
Lower middle income,04-01-2021,17509166
Low income,04-01-2021,412016
High income,03-01-2021,43205848
Middle Class Income,03-01-2021,24385398
Lower middle income,03-01-2021,17458935
Low income,03-01-2021,409967
High income,02-01-2021,42840811
Middle Class Income,02-01-2021,24283788
Lower middle income,02-01-2021,17407791
Low income,02-01-2021,407502
High income,01-01-2021,42397267
Middle Class Income,01-01-2021,24178716
Lower middle income,01-01-2021,17354166
Low income,01-01-2021,405570
High income,31-12-2020,42024144
Middle Class Income,31-12-2020,24054132
Lower middle income,31-12-2020,17290559
Low income,31-12-2020,403169
High income,30-12-2020,41438640
Middle Class Income,30-12-2020,23870581
Lower middle income,30-12-2020,17222748
Low income,30-12-2020,400473
High income,29-12-2020,40961313
Middle Class Income,29-12-2020,23691261
Lower middle income,29-12-2020,17156700
Low income,29-12-2020,397866
High income,28-12-2020,40522509
Middle Class Income,28-12-2020,23522615
Lower middle income,28-12-2020,17094766
Low income,28-12-2020,395586
High income,27-12-2020,40195155
Middle Class Income,27-12-2020,23400958
Lower middle income,27-12-2020,17045836
Low income,27-12-2020,394208
High income,26-12-2020,39946289
Middle Class Income,26-12-2020,23293099
Lower middle income,26-12-2020,16991364
Low income,26-12-2020,392272
High income,25-12-2020,39586623
Middle Class Income,25-12-2020,23179675
Lower middle income,25-12-2020,16933938
Low income,25-12-2020,390201
High income,24-12-2020,39308638
Middle Class Income,24-12-2020,23034372
Lower middle income,24-12-2020,16866823
Low income,24-12-2020,387455
High income,23-12-2020,38863387
Middle Class Income,23-12-2020,22859537
Lower middle income,23-12-2020,16796507
Low income,23-12-2020,384587
High income,22-12-2020,38425356
Middle Class Income,22-12-2020,22688917
Lower middle income,22-12-2020,16725760
Low income,22-12-2020,381901
High income,21-12-2020,38018378
Middle Class Income,21-12-2020,22512028
Lower middle income,21-12-2020,16660636
Low income,21-12-2020,379604
High income,20-12-2020,37662464
Middle Class Income,20-12-2020,22377851
Lower middle income,20-12-2020,16606311
Low income,20-12-2020,377645
High income,19-12-2020,37315574
Middle Class Income,19-12-2020,22243687
Lower middle income,19-12-2020,16542217
Low income,19-12-2020,375620
High income,18-12-2020,36924232
Middle Class Income,18-12-2020,22075336
Lower middle income,18-12-2020,16469293
Low income,18-12-2020,372998
High income,17-12-2020,36460901
Middle Class Income,17-12-2020,21894298
Lower middle income,17-12-2020,16394828
Low income,17-12-2020,370421
High income,16-12-2020,35997817
Middle Class Income,16-12-2020,21693225
Lower middle income,16-12-2020,16323297
Low income,16-12-2020,367577
High income,15-12-2020,35550131
Middle Class Income,15-12-2020,21497011
Lower middle income,15-12-2020,16252111
Low income,15-12-2020,365091
High income,14-12-2020,35153221
Middle Class Income,14-12-2020,21318097
Lower middle income,14-12-2020,16181298
Low income,14-12-2020,363236
High income,13-12-2020,34802281
Middle Class Income,13-12-2020,21177294
Lower middle income,13-12-2020,16123930
Low income,13-12-2020,361140
High income,12-12-2020,34467887
Middle Class Income,12-12-2020,21042133
Lower middle income,12-12-2020,16056967
Low income,12-12-2020,358958
High income,11-12-2020,34068648
Middle Class Income,11-12-2020,20874491
Lower middle income,11-12-2020,15978179
Low income,11-12-2020,356155
High income,10-12-2020,33635922
Middle Class Income,10-12-2020,20685826
Lower middle income,10-12-2020,15896202
Low income,10-12-2020,353789
High income,09-12-2020,33209819
Middle Class Income,09-12-2020,19700650
Lower middle income,09-12-2020,15814747
Low income,09-12-2020,351238
High income,08-12-2020,32819918
Middle Class Income,08-12-2020,19513289
Lower middle income,08-12-2020,15730090
Low income,08-12-2020,347803
High income,07-12-2020,32445951
Middle Class Income,07-12-2020,19339115
Lower middle income,07-12-2020,15649628
Low income,07-12-2020,346004
High income,06-12-2020,32124646
Middle Class Income,06-12-2020,19196620
Lower middle income,06-12-2020,15580793
Low income,06-12-2020,343526
High income,05-12-2020,31812491
Middle Class Income,05-12-2020,19053283
Lower middle income,05-12-2020,15494503
Low income,05-12-2020,341477
High income,04-12-2020,31437297
Middle Class Income,04-12-2020,18877478
Lower middle income,04-12-2020,15405676
Low income,04-12-2020,339219
High income,03-12-2020,31021503
Middle Class Income,03-12-2020,18694839
Lower middle income,03-12-2020,15309870
Low income,03-12-2020,337055
High income,02-12-2020,30620980
Middle Class Income,02-12-2020,18504051
Lower middle income,02-12-2020,15212575
Low income,02-12-2020,335105
High income,01-12-2020,30257055
Middle Class Income,01-12-2020,18325655
Lower middle income,01-12-2020,15116698
Low income,01-12-2020,333038
High income,30-11-2020,29909578
Middle Class Income,30-11-2020,18147880
Lower middle income,30-11-2020,15029214
Low income,30-11-2020,331036
High income,29-11-2020,29622835
Middle Class Income,29-11-2020,18008992
Lower middle income,29-11-2020,14949982
Low income,29-11-2020,329173
High income,28-11-2020,29359080
Middle Class Income,28-11-2020,17872535
Lower middle income,28-11-2020,14856184
Low income,28-11-2020,327660
High income,27-11-2020,29032681
Middle Class Income,27-11-2020,17693481
Lower middle income,27-11-2020,14755968
Low income,27-11-2020,325989
High income,26-11-2020,28628632
Middle Class Income,26-11-2020,17507101
Lower middle income,26-11-2020,14653304
Low income,26-11-2020,323735
High income,25-11-2020,28318704
Middle Class Income,25-11-2020,17331441
Lower middle income,25-11-2020,14551688
Low income,25-11-2020,321914
High income,24-11-2020,27956467
Middle Class Income,24-11-2020,17181857
Lower middle income,24-11-2020,14448428
Low income,24-11-2020,319897
High income,23-11-2020,27600177
Middle Class Income,23-11-2020,17046316
Lower middle income,23-11-2020,14351204
Low income,23-11-2020,318326
High income,22-11-2020,27260621
Middle Class Income,22-11-2020,16939723
Lower middle income,22-11-2020,14264586
Low income,22-11-2020,316778
High income,21-11-2020,26965644
Middle Class Income,21-11-2020,16833872
Lower middle income,21-11-2020,14168797
Low income,21-11-2020,315383
High income,20-11-2020,26600238
Middle Class Income,20-11-2020,16710719
Lower middle income,20-11-2020,14066699
Low income,20-11-2020,313713
High income,19-11-2020,26172356
Middle Class Income,19-11-2020,16570740
Lower middle income,19-11-2020,13962414
Low income,19-11-2020,311711
High income,18-11-2020,25751223
Middle Class Income,18-11-2020,16440592
Lower middle income,18-11-2020,13861518
Low income,18-11-2020,310033
High income,17-11-2020,25359315
Middle Class Income,17-11-2020,16312176
Lower middle income,17-11-2020,13761370
Low income,17-11-2020,308299
High income,16-11-2020,24968449
Middle Class Income,16-11-2020,16191422
Lower middle income,16-11-2020,13672258
Low income,16-11-2020,306958
High income,15-11-2020,24611778
Middle Class Income,15-11-2020,16096854
Lower middle income,15-11-2020,13599228
Low income,15-11-2020,305382
High income,14-11-2020,24289466
Middle Class Income,14-11-2020,16009745
Lower middle income,14-11-2020,13519759
Low income,14-11-2020,304118
High income,13-11-2020,23911389
Middle Class Income,13-11-2020,15896597
Lower middle income,13-11-2020,13426077
Low income,13-11-2020,302348
High income,12-11-2020,23480795
Middle Class Income,12-11-2020,15765943
Lower middle income,12-11-2020,13327733
Low income,12-11-2020,300980
High income,11-11-2020,23063591
Middle Class Income,11-11-2020,15640115
Lower middle income,11-11-2020,13231945
Low income,11-11-2020,299681
High income,10-11-2020,22654673
Middle Class Income,10-11-2020,15523267
Lower middle income,10-11-2020,13134367
Low income,10-11-2020,298399
High income,09-11-2020,22307557
Middle Class Income,09-11-2020,15391737
Lower middle income,09-11-2020,13043163
Low income,09-11-2020,297353
High income,08-11-2020,21967027
Middle Class Income,08-11-2020,15301999
Lower middle income,08-11-2020,12964595
Low income,08-11-2020,296323
High income,07-11-2020,21651071
Middle Class Income,07-11-2020,15218659
Lower middle income,07-11-2020,12874564
Low income,07-11-2020,294827
High income,06-11-2020,21247249
Middle Class Income,06-11-2020,15119530
Lower middle income,06-11-2020,12779660
Low income,06-11-2020,293658
High income,05-11-2020,20828243
Middle Class Income,05-11-2020,15011080
Lower middle income,05-11-2020,12685239
Low income,05-11-2020,292499
High income,04-11-2020,20415875
Middle Class Income,04-11-2020,14899178
Lower middle income,04-11-2020,12591544
Low income,04-11-2020,291192
High income,03-11-2020,20135838
Middle Class Income,03-11-2020,14783277
Lower middle income,03-11-2020,12496538
Low income,03-11-2020,289989
High income,02-11-2020,19750826
Middle Class Income,02-11-2020,14692554
Lower middle income,02-11-2020,12408375
Low income,02-11-2020,288473
High income,01-11-2020,19355843
Middle Class Income,01-11-2020,14614328
Lower middle income,01-11-2020,12334199
Low income,01-11-2020,287435
High income,31-10-2020,19079878
Middle Class Income,31-10-2020,14535936
Lower middle income,31-10-2020,12250712
Low income,31-10-2020,286175
High income,30-10-2020,18785586
Middle Class Income,30-10-2020,14445448
Lower middle income,30-10-2020,12164375
Low income,30-10-2020,285267
High income,29-10-2020,18413925
Middle Class Income,29-10-2020,14337866
Lower middle income,29-10-2020,12073377
Low income,29-10-2020,283789
High income,28-10-2020,18062080
Middle Class Income,28-10-2020,14227950
Lower middle income,28-10-2020,11985320
Low income,28-10-2020,282232
High income,27-10-2020,17738659
Middle Class Income,27-10-2020,14119681
Lower middle income,27-10-2020,11896561
Low income,27-10-2020,281022
High income,26-10-2020,17454632
Middle Class Income,26-10-2020,14013893
Lower middle income,26-10-2020,11819199
Low income,26-10-2020,279797
High income,25-10-2020,17126489
Middle Class Income,25-10-2020,13929206
Lower middle income,25-10-2020,11749845
Low income,25-10-2020,278870
High income,24-10-2020,16928311
Middle Class Income,24-10-2020,13848117
Lower middle income,24-10-2020,11671299
Low income,24-10-2020,277904
High income,23-10-2020,16660015
Middle Class Income,23-10-2020,13748602
Lower middle income,23-10-2020,11584203
Low income,23-10-2020,276593
High income,22-10-2020,16366265
Middle Class Income,22-10-2020,13642247
Lower middle income,22-10-2020,11491712
Low income,22-10-2020,275367
High income,21-10-2020,16083101
Middle Class Income,21-10-2020,13535630
Lower middle income,21-10-2020,11400665
Low income,21-10-2020,274176
High income,20-10-2020,15842914
Middle Class Income,20-10-2020,13431388
Lower middle income,20-10-2020,11306738
Low income,20-10-2020,273047
High income,19-10-2020,15637789
Middle Class Income,19-10-2020,13336007
Lower middle income,19-10-2020,11219634
Low income,19-10-2020,271870
High income,18-10-2020,15420931
Middle Class Income,18-10-2020,13257249
Lower middle income,18-10-2020,11141707
Low income,18-10-2020,270456
High income,17-10-2020,15247967
Middle Class Income,17-10-2020,13185407
Lower middle income,17-10-2020,11056664
Low income,17-10-2020,269122
High income,16-10-2020,15062984
Middle Class Income,16-10-2020,13100190
Lower middle income,16-10-2020,10956149
Low income,16-10-2020,267804
High income,15-10-2020,14850649
Middle Class Income,15-10-2020,12999782
Lower middle income,15-10-2020,10859746
Low income,15-10-2020,266469
High income,14-10-2020,14643391
Middle Class Income,14-10-2020,12896996
Lower middle income,14-10-2020,10764117
Low income,14-10-2020,265218
High income,13-10-2020,14456054
Middle Class Income,13-10-2020,12806581
Lower middle income,13-10-2020,10662558
Low income,13-10-2020,263848
High income,12-10-2020,14303465
Middle Class Income,12-10-2020,12734436
Lower middle income,12-10-2020,10569087
Low income,12-10-2020,262689
High income,11-10-2020,14159146
Middle Class Income,11-10-2020,12673368
Lower middle income,11-10-2020,10485812
Low income,11-10-2020,261324
High income,10-10-2020,14033617
Middle Class Income,10-10-2020,12607277
Lower middle income,10-10-2020,10389457
Low income,10-10-2020,259873
High income,09-10-2020,13879599
Middle Class Income,09-10-2020,12519677
Lower middle income,09-10-2020,10277099
Low income,09-10-2020,258406
High income,08-10-2020,13715655
Middle Class Income,08-10-2020,12428941
Lower middle income,08-10-2020,10172808
Low income,08-10-2020,257000
High income,07-10-2020,13554396
Middle Class Income,07-10-2020,12337894
Lower middle income,07-10-2020,10067431
Low income,07-10-2020,255392
High income,06-10-2020,13412937
Middle Class Income,06-10-2020,12242903
Lower middle income,06-10-2020,9956132
Low income,06-10-2020,253901
High income,05-10-2020,13287970
Middle Class Income,05-10-2020,12152371
Lower middle income,05-10-2020,9856796
Low income,05-10-2020,252700
High income,04-10-2020,13170710
Middle Class Income,04-10-2020,12045518
Lower middle income,04-10-2020,9770725
Low income,04-10-2020,251514
High income,03-10-2020,13065803
Middle Class Income,03-10-2020,11993263
Lower middle income,03-10-2020,9669106
Low income,03-10-2020,249803
High income,02-10-2020,12950794
Middle Class Income,02-10-2020,11916803
Lower middle income,02-10-2020,9564776
Low income,02-10-2020,248316
High income,01-10-2020,12822621
Middle Class Income,01-10-2020,11826043
Lower middle income,01-10-2020,9455819
Low income,01-10-2020,246732
High income,30-09-2020,12705092
Middle Class Income,30-09-2020,11733949
Lower middle income,30-09-2020,9347691
Low income,30-09-2020,245382
High income,29-09-2020,12585166
Middle Class Income,29-09-2020,11644957
Lower middle income,29-09-2020,9233478
Low income,29-09-2020,244001
High income,28-09-2020,12494647
Middle Class Income,28-09-2020,11560487
Lower middle income,28-09-2020,9127142
Low income,28-09-2020,242570
High income,27-09-2020,12391979
Middle Class Income,27-09-2020,11495385
Lower middle income,27-09-2020,9033558
Low income,27-09-2020,241173
High income,26-09-2020,12313826
Middle Class Income,26-09-2020,11435252
Lower middle income,26-09-2020,8926206
Low income,26-09-2020,239839
High income,25-09-2020,12216385
Middle Class Income,25-09-2020,11361314
Lower middle income,25-09-2020,8813187
Low income,25-09-2020,238572
High income,24-09-2020,12095784
Middle Class Income,24-09-2020,11265360
Lower middle income,24-09-2020,8700877
Low income,24-09-2020,237448
High income,23-09-2020,11977133
Middle Class Income,23-09-2020,11176575
Lower middle income,23-09-2020,8588597
Low income,23-09-2020,236269
High income,22-09-2020,11871805
Middle Class Income,22-09-2020,11085378
Lower middle income,22-09-2020,8474836
Low income,22-09-2020,234932
High income,21-09-2020,11776730
Middle Class Income,21-09-2020,11003560
Lower middle income,21-09-2020,8369127
Low income,21-09-2020,233254
High income,20-09-2020,11678025
Middle Class Income,20-09-2020,10942536
Lower middle income,20-09-2020,8270423
Low income,20-09-2020,231758
High income,19-09-2020,11597290
Middle Class Income,19-09-2020,10882074
Lower middle income,19-09-2020,8158187
Low income,19-09-2020,230086
High income,18-09-2020,11506674
Middle Class Income,18-09-2020,10799746
Lower middle income,18-09-2020,8039763
Low income,18-09-2020,228373
High income,17-09-2020,11393849
Middle Class Income,17-09-2020,10706050
Lower middle income,17-09-2020,7921098
Low income,17-09-2020,226938
High income,16-09-2020,11290847
Middle Class Income,16-09-2020,10616205
Lower middle income,16-09-2020,7799650
Low income,16-09-2020,225668
High income,15-09-2020,11199505
Middle Class Income,15-09-2020,10526440
Lower middle income,15-09-2020,7677360
Low income,15-09-2020,224114
High income,14-09-2020,11116055
Middle Class Income,14-09-2020,10444068
Lower middle income,14-09-2020,7564124
Low income,14-09-2020,222642
High income,13-09-2020,11024620
Middle Class Income,13-09-2020,10377574
Lower middle income,13-09-2020,7456161
Low income,13-09-2020,221382
High income,12-09-2020,10952081
Middle Class Income,12-09-2020,10316554
Lower middle income,12-09-2020,7342184
Low income,12-09-2020,220095
High income,11-09-2020,10868033
Middle Class Income,11-09-2020,10232787
Lower middle income,11-09-2020,7222743
Low income,11-09-2020,218664
High income,10-09-2020,10772990
Middle Class Income,10-09-2020,10135405
Lower middle income,10-09-2020,7100318
Low income,10-09-2020,217158
High income,09-09-2020,10684456
Middle Class Income,09-09-2020,10040606
Lower middle income,09-09-2020,6980935
Low income,09-09-2020,215482
High income,08-09-2020,10608243
Middle Class Income,08-09-2020,9950978
Lower middle income,08-09-2020,6863235
Low income,08-09-2020,213730
High income,07-09-2020,10541430
Middle Class Income,07-09-2020,9884195
Lower middle income,07-09-2020,6752301
Low income,07-09-2020,211761
High income,06-09-2020,10465176
Middle Class Income,06-09-2020,9838542
Lower middle income,06-09-2020,6658511
Low income,06-09-2020,210180
High income,05-09-2020,10408157
Middle Class Income,05-09-2020,9779347
Lower middle income,05-09-2020,6547857
Low income,05-09-2020,208061
High income,04-09-2020,10335365
Middle Class Income,04-09-2020,9690246
Lower middle income,04-09-2020,6437893
Low income,04-09-2020,206226
High income,03-09-2020,10244744
Middle Class Income,03-09-2020,9589660
Lower middle income,03-09-2020,6329384
Low income,03-09-2020,204220
